,Unnamed: 0,name,city,phone,yelp_rating,yelp_review_count,google_rating,google_review_count,facebook_rating,facebook_review_count,angieslist_rating,angieslist_review_count,com_rating,com_review_count,website_name,healthcare4ppl_rating,healthcare4ppl_review_count
0,0,Pro-Tech Pest and Lawn Management,El Paso,19156335675,3.5,3,4.6,37.0,5.0,31.0,5.0,7.0,5.0,1.0,https://www.pro-techpestandlawn.com/,0.0,0.0
1,1,Delta Pest Control & Lawn Service,El Paso,19157517500,3.5,3,4.2,74.0,0.0,0.0,5.0,33.0,0.0,0.0,https://deltaunlimited.com/,0.0,0.0
2,2,TLC Services,El Paso,19154224204,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,5.0,1.0
3,3,Hawkeye Painting & Yard Services,El Paso,19153096714,4.0,1,4.8,10.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.hawkeyepaintingandyardservice.com/,0.0,0.0
