,name,city,phone,yelp_rating,yelp_review_count,facebook_rating,facebook_review_count,com_rating,com_review_count,angieslist_rating,angieslist_review_count,website_name,google_rating,google_review_count,healthcare4ppl_rating,healthcare4ppl_review_count,homehealthcareagencies_rating,homehealthcareagencies_review_count
0,Pro-Tech Pest and Lawn Management,El Paso,+19156335675,3.5,3,5.0,31.0,5.0,1.0,5.0,7.0,not claimed on google,0.0,0.0,0.0,0.0,0.0,0.0
1,Delta Pest Control & Lawn Service,El Paso,+19157517500,3.5,3,0.0,0.0,0.0,0.0,4.8,33.0,https://deltaunlimited.com/,4.2,74.0,0.0,0.0,0.0,0.0
2,TLC Services,El Paso,+19154224204,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,0.0,0.0,5.0,1.0,2.0,20.0
3,Hawkeye Painting & Yard Services,El Paso,+19153096714,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,not claimed on google,5.0,1.0,0.0,0.0,0.0,0.0
